update,total_timesteps,curriculum_level,rollout_size,episodes_completed,steps_per_second,policy_loss,value_loss,entropy,total_loss,approximate_kl,clip_fraction,gradient_norm,explained_variance,optimiser_steps,epochs_completed,early_stopped,learning_rate,actor_log_std_linear,actor_log_std_angular,raw_advantage_mean,raw_advantage_std,final_advantage_mean,final_advantage_std,recent_success_rate
106,220511,2,2048,987,7.436142227356608,-0.010627559648128226,4.899748798739165,2.944294299185276,2.409803891321644,0.00818429842183832,0.099462890625,1.9984496033750474,0.4463803768157959,320.0,10.0,0.0,0.00018974449999999997,-0.006848546210676432,0.11218543350696564,0.30742743611335754,3.1852009296417236,-1.3969838619232178e-09,0.9999999403953552,0.54
107,225040,2,2048,1000,7.435780531966573,-0.011285061019589194,5.300078623555601,2.9300383143126965,2.6094538613222538,0.01145486134919338,0.1537109375,1.6977765949442982,0.18417829275131226,320.0,10.0,0.0,0.00018748,-0.010348365642130375,0.08685364574193954,0.5343056321144104,3.2804176807403564,-6.51925802230835e-09,1.0,0.66
108,227088,2,2048,1008,7.430254907143614,-0.01315786028135335,7.995883670635521,2.915700416266918,3.9556269572116434,0.008730161684798076,0.118359375,1.7809549254365264,0.3905101418495178,320.0,10.0,0.0,0.00018645600000000002,-0.0033794110640883446,0.08511035889387131,0.2787025570869446,4.065882682800293,-4.190951585769653e-09,1.0,0.72
109,229136,2,2048,1013,7.451299886424878,-0.012501059682108462,2.6924555684439837,2.9156493790447713,1.3045702312141656,0.008634685666766017,0.11171875,1.748479493893683,0.45713186264038086,320.0,10.0,0.0,0.000185432,-0.012764431536197662,0.08610841631889343,0.5601067543029785,2.328073263168335,-5.122274160385132e-09,1.0,0.74
110,231184,2,2048,1019,7.446667634104873,-0.01854005620989483,2.934387728571892,2.89683491140604,1.4196854574605822,0.009430158138275146,0.120458984375,1.5936488715931774,0.39544230699539185,320.0,10.0,0.0,0.00018440799999999997,-0.027501216158270836,0.0703030452132225,0.6668106913566589,2.40618634223938,1.1408701539039612e-08,1.0,0.76
111,233232,2,2048,1025,7.444960253177059,-0.011112856591353193,2.8356645706575363,2.8665924802422524,1.3780535058118404,0.007112561038229615,0.091259765625,1.6570682387799025,0.26216214895248413,320.0,10.0,0.0,0.000183384,-0.043625954538583755,0.05815071612596512,0.7417140007019043,2.3364274501800537,2.0256265997886658e-08,0.9999999403953552,0.82
112,235280,2,2048,1032,7.43657105357463,-0.013545141993381549,4.661800328362733,2.8437273509800436,2.288917747605592,0.010463935749430674,0.137841796875,1.5347143303602935,0.4148511290550232,320.0,10.0,0.0,0.00018235999999999998,-0.0512487031519413,0.04774172976613045,0.5218119025230408,3.0768535137176514,5.587935447692871e-09,0.9999999403953552,0.88
113,237328,2,2048,1039,7.441841191910284,-0.015493069816147908,7.3495051946491,2.838976914435625,3.6308697690721603,0.00898341145075392,0.11005859375,1.6555580914951862,0.4741172194480896,320.0,10.0,0.0,0.00018133599999999996,-0.047487352043390274,0.05027370527386665,-0.04038377106189728,3.910346508026123,1.3969838619232178e-09,0.9999999403953552,0.86
114,239376,2,2048,1046,7.44016489325287,-0.013667482638265938,3.065400858875364,2.824730920046568,1.4907856362871825,0.007321203291940037,0.09287109375,1.6780772024765611,0.21941018104553223,320.0,10.0,0.0,0.000180312,-0.06240147352218628,0.030968304723501205,0.9920296669006348,2.3572492599487305,1.3504177331924438e-08,1.0,0.9
115,241424,2,2048,1055,7.424014431009937,-0.014730672110454179,13.122195026278495,2.812565042823553,6.5182412032037975,0.007740747700154316,0.100537109375,1.947121514659375,0.39904022216796875,320.0,10.0,0.0,0.00017928799999999997,-0.05889967083930969,0.0407581552863121,-0.9303804636001587,5.116593837738037,2.3283064365386963e-09,1.0,0.84
