episode,total_timesteps,seed,curriculum_level,length,return,outcome,success,collision,timeout,initial_distance_m,final_distance_m,minimum_clearance_m,start_room,goal_room,reset_attempt
983,218942,10986,2,479,89.57435914463846,success,1,0,0,10.585304487170788,0.24967030621882644,0.38571736216545105,office,laboratory,1
984,219056,10987,2,114,-14.087077531566301,collision,0,1,0,3.622387918627605,2.623987081717932,0.21411004662513733,meeting,laboratory,1
985,219309,10988,2,253,53.004175276211555,success,1,0,0,5.525443620383555,0.22874980644294748,0.25737643241882324,meeting,office,1
986,219556,10989,2,247,60.21715151066169,success,1,0,0,5.591531621843778,0.23506053798612409,0.9530993700027466,meeting,laboratory,1
987,220000,10990,2,444,75.6530004399612,success,1,0,0,3.325372306281915,0.2473229544639523,0.3566240072250366,office,meeting,1
988,220536,10991,2,536,85.24071467743366,success,1,0,0,10.075621370734973,0.24616720519872037,0.3366791605949402,laboratory,office,1
989,221034,10992,2,498,95.79678910718599,success,1,0,0,10.79630530250658,0.23859963620338315,0.7457789182662964,office,laboratory,1
990,221245,10993,2,211,52.88971676205835,success,1,0,0,4.182760644155684,0.24955149085235478,0.7948408126831055,meeting,office,1
991,221650,10994,2,405,55.36164146624968,success,1,0,0,4.98631048229977,0.23869026284574635,0.22662287950515747,meeting,office,1
992,222141,10995,2,491,88.9310229580675,success,1,0,0,8.57996967013356,0.23348882465092236,0.4045443832874298,laboratory,office,1
993,222194,10996,2,53,-23.436405688479944,collision,0,1,0,3.1558696017682406,2.7486158950229784,0.21528366208076477,laboratory,meeting,1
994,222887,10998,2,554,84.0414976946887,success,1,0,0,11.1322538713005,0.24500845286170064,0.273951917886734,office,laboratory,1
995,223257,11000,2,265,62.08075861688893,success,1,0,0,5.088689161373009,0.23174594513360544,0.870787501335144,meeting,laboratory,1
996,223315,11001,2,58,-19.682366867275014,collision,0,1,0,8.30298730685128,7.039967572183795,0.21788012981414795,meeting,laboratory,1
997,223484,11002,2,169,46.699947181267135,success,1,0,0,3.4006490145013357,0.2354568663807451,0.8665274381637573,meeting,office,1
998,223809,11003,2,325,65.90294526108926,success,1,0,0,5.832794393314729,0.2499540727010895,0.39260101318359375,meeting,laboratory,1
999,224240,11004,2,431,77.08318051059179,success,1,0,0,8.911180388781538,0.24529789520636067,0.2508377432823181,laboratory,office,1
1000,224616,11005,2,376,82.02938217676808,success,1,0,0,8.528539262968465,0.24781775012408225,0.6100561022758484,office,laboratory,1
1001,225183,11006,2,567,87.35924485087111,success,1,0,0,8.606493273007143,0.23939553207944025,0.2652999460697174,office,laboratory,1
1002,225460,11007,2,277,66.07885744156528,success,1,0,0,6.803406302302662,0.24687520088678835,0.5475083589553833,meeting,office,1
1003,225789,11008,2,329,52.83033320958433,success,1,0,0,6.5221538635666,0.2297565458498026,0.23346219956874847,laboratory,meeting,1
1004,225863,11009,2,74,-18.751674727699115,collision,0,1,0,5.408887369116652,4.044382420461432,0.20565417408943176,office,meeting,1
1005,226071,11010,2,208,56.13900997069206,success,1,0,0,5.3703541125172825,0.2488482323866387,0.8624123930931091,meeting,laboratory,1
1006,226390,11011,2,319,76.60164170029226,success,1,0,0,7.802509986830188,0.232337923532502,0.6627286672592163,office,laboratory,1
1007,226881,11012,2,491,75.21835056255284,success,1,0,0,9.737322532496824,0.2413287618545541,0.2875494956970215,meeting,laboratory,1
1008,226977,11013,2,96,-17.945226141850863,collision,0,1,0,9.850684503847004,8.267810317495499,0.21821139752864838,laboratory,office,1
1009,227240,11014,2,263,60.40812850135197,success,1,0,0,6.506430008825913,0.2471756296628083,0.7242124676704407,office,meeting,1
1010,227663,11015,2,423,72.44713495842198,success,1,0,0,9.84714593160221,0.23981994483873145,0.22448450326919556,meeting,laboratory,1
1011,227980,11016,2,317,74.12304098016735,success,1,0,0,7.949977702691824,0.2415418725158039,0.8633034229278564,office,laboratory,1
1012,228366,11017,2,386,64.02991199186653,success,1,0,0,7.603025990847865,0.24869526899292607,0.3596452474594116,meeting,office,1
1013,228793,11018,2,427,82.49367980493875,success,1,0,0,7.398666655382529,0.24828082897347184,0.6842482686042786,laboratory,office,1
1014,229153,11019,2,360,51.57587304928657,success,1,0,0,5.887560794448148,0.24825245689513398,0.2574039697647095,office,meeting,1
1015,229299,11020,2,146,46.16394256247699,success,1,0,0,3.3667052330026723,0.23714637670140237,0.8436709046363831,laboratory,meeting,1
1016,229506,11021,2,207,54.86246951647237,success,1,0,0,4.548178782627805,0.22771174696991858,0.4903019666671753,laboratory,meeting,1
1017,229714,11022,2,208,50.510815968134494,success,1,0,0,4.279227527243695,0.23075175613242765,0.7922901511192322,office,meeting,1
1018,230316,11023,2,602,89.95969501374249,success,1,0,0,10.098967534365492,0.24461408213377397,0.3751232326030731,laboratory,office,1
1019,230826,11024,2,510,93.93687130449848,success,1,0,0,10.881262363750192,0.2495062700817739,0.42209547758102417,laboratory,office,1
1020,231185,11025,2,359,64.10465916068783,success,1,0,0,7.656400691063617,0.20955335925870436,0.2407214343547821,meeting,office,1
1021,231445,11026,2,260,60.27574787418528,success,1,0,0,3.9164840089414854,0.24633443838517963,0.6277875900268555,meeting,laboratory,1
1022,231722,11027,2,277,57.60282726352497,success,1,0,0,6.015122852690022,0.24950233456102322,0.3479645550251007,meeting,laboratory,1
1023,232251,11028,2,529,96.87648600741151,success,1,0,0,11.787840192594516,0.24790278979385233,0.8437346816062927,laboratory,office,1
1024,232934,11029,2,683,104.75002696286656,success,1,0,0,12.364701905015217,0.23802066272801395,0.3250395357608795,office,laboratory,1
1025,233137,11030,2,203,51.35095510272512,success,1,0,0,3.21846808119837,0.22355788086825806,0.6717509031295776,office,meeting,1
1026,233464,11031,2,327,64.20282603000074,success,1,0,0,7.666083604663423,0.23806267896009706,0.2789812982082367,meeting,office,1
1027,233507,11032,2,43,-21.88608025497996,collision,0,1,0,6.857817724924436,6.018526429086651,0.2154655158519745,meeting,office,1
1028,234033,11033,2,526,86.83793358331363,success,1,0,0,10.571736186573242,0.24017286371467725,0.308843731880188,office,laboratory,1
1029,234302,11034,2,269,61.807053419490785,success,1,0,0,6.1595491819493216,0.24653833316356824,0.7696895003318787,meeting,laboratory,1
1030,234500,11035,2,198,53.355102256756666,success,1,0,0,4.920322352173193,0.23314198875272782,0.6732984781265259,laboratory,meeting,1
1031,234788,11036,2,288,57.745001064750056,success,1,0,0,5.769997861770018,0.2470968272978126,0.9310126900672913,meeting,office,1
1032,235105,11037,2,317,64.05366484118272,success,1,0,0,6.652481196561993,0.2336480377167913,0.31375136971473694,meeting,laboratory,1
1033,235524,11038,2,419,72.90513636463203,success,1,0,0,8.954425742329423,0.23328449251603636,0.3535083532333374,meeting,laboratory,1
1034,235909,11039,2,385,73.72885967444567,success,1,0,0,8.86710837901173,0.2396643302053846,0.41156211495399475,meeting,laboratory,1
1035,236194,11040,2,285,51.67234415613656,success,1,0,0,4.7219797491705995,0.2381805176271056,0.2621806561946869,office,meeting,1
1036,236477,11041,2,283,59.12048376830482,success,1,0,0,5.1843939285142655,0.2443538430083959,0.28197282552719116,meeting,laboratory,1
1037,236842,11042,2,365,-6.6742453507625115,collision,0,1,0,5.655772653826378,1.6069551435723077,0.20823433995246887,laboratory,meeting,1
1038,236894,11043,2,52,-25.832433225936988,collision,0,1,0,4.217199473470559,3.9213366848011897,0.20966681838035583,laboratory,meeting,1
1039,237199,11044,2,305,66.62498620168225,success,1,0,0,4.6930989875721885,0.24234638149232768,0.6999197602272034,meeting,office,1
1040,237380,11045,2,181,49.91256136547577,success,1,0,0,4.352541297125086,0.24166624829199504,0.24031682312488556,office,meeting,1
1041,237813,11046,2,433,81.68364424800701,success,1,0,0,9.748942708463924,0.2491687421316563,0.5403924584388733,laboratory,office,1
1042,238017,11047,2,204,56.174463143742024,success,1,0,0,4.074931788554359,0.23364946602562717,0.5339279770851135,office,meeting,1
1043,238224,11048,2,207,53.546663716257385,success,1,0,0,3.3462274566417225,0.2438778823879644,0.510930061340332,office,meeting,1
1044,238487,11049,2,263,62.303761348378266,success,1,0,0,4.779813701045617,0.24372300622698273,0.6463487148284912,meeting,laboratory,1
1045,238722,11050,2,235,47.333050836866406,success,1,0,0,3.841926678397466,0.23562382346755145,0.3882388472557068,meeting,office,1
1046,239024,11051,2,302,61.27316470185188,success,1,0,0,5.883628238008182,0.248741423649104,0.6295722723007202,meeting,office,1
1047,239468,11052,2,444,87.76964765197543,success,1,0,0,9.849457694634777,0.24265379239231785,0.34883004426956177,laboratory,office,1
1048,240037,11053,2,569,2.677771212869608,collision,0,1,0,6.218275893565127,1.1108432531442682,0.20414966344833374,laboratory,meeting,1
1049,240081,11054,2,44,-21.66809806236511,collision,0,1,0,4.015222361892754,3.877660036895788,0.20586995780467987,office,meeting,1
1050,240174,11055,2,93,-14.764843921078832,collision,0,1,0,9.064900530144731,7.588344375548779,0.21648694574832916,laboratory,office,1
1051,240356,11056,2,182,53.918289071787605,success,1,0,0,4.756025148079576,0.2314321093357119,0.7675696611404419,meeting,office,1
1052,240441,11057,2,85,-17.388978103514326,collision,0,1,0,8.729314975417065,6.6601111899458605,0.21526072919368744,meeting,office,1
1053,240728,11058,2,287,59.1007535287892,success,1,0,0,5.398132343471686,0.23728410452079812,0.2742740511894226,meeting,laboratory,1
1054,241089,11059,2,361,79.95363349744392,success,1,0,0,8.571707596280083,0.2217932836429632,0.6395531296730042,laboratory,office,1
1055,241376,11060,2,287,52.613950731758045,success,1,0,0,6.222447897380393,0.23885936530606378,0.22696790099143982,office,meeting,1
1056,241687,11061,2,311,56.045280739003154,success,1,0,0,4.445759316507068,0.2489983964731891,0.23613241314888,meeting,laboratory,1
1057,241711,11062,2,24,-23.38771638312795,collision,0,1,0,5.638143047838292,5.0438971686256435,0.20159383118152618,meeting,laboratory,1
1058,241956,11063,2,245,58.40839492775951,success,1,0,0,3.9891262767627196,0.2345834661391214,0.39270758628845215,laboratory,meeting,1
1059,242182,11064,2,226,51.05577145377211,success,1,0,0,3.058229907524533,0.2315342745181363,0.6389278173446655,meeting,office,1
1060,242359,11065,2,177,50.343140498149694,success,1,0,0,3.9725904852217124,0.2408828495045621,0.5029953718185425,meeting,laboratory,1
1061,242620,11066,2,261,61.80593559449511,success,1,0,0,4.601220663706371,0.23952393170687103,0.5844192504882812,meeting,laboratory,1
1062,243058,11067,2,438,79.35930905986706,success,1,0,0,7.224196897637437,0.24243130703380938,0.277220219373703,laboratory,office,1
1063,243414,11068,2,356,61.199805601786494,success,1,0,0,5.02000535955507,0.2377981137633646,0.43292468786239624,meeting,laboratory,1
1064,243674,11069,2,260,52.857033072223516,success,1,0,0,4.98061733665538,0.2421197513328716,0.4770810306072235,meeting,laboratory,1
1065,244009,11070,2,335,78.27495399609313,success,1,0,0,7.7227932135713235,0.24642109461392414,0.6924723386764526,office,laboratory,1
1066,244559,11071,2,550,96.71135793360838,success,1,0,0,11.037896036980154,0.2405100845920513,0.4323790669441223,laboratory,office,1
1067,244966,11072,2,407,23.54049679605143,collision,0,1,0,7.916693991699196,1.7840897582616457,0.21366089582443237,laboratory,office,1
1068,245196,11073,2,230,56.909873698586,success,1,0,0,5.028953213300982,0.2307434825194228,0.42442238330841064,meeting,office,1
1069,245455,11074,2,259,59.83774760369501,success,1,0,0,6.117984155158907,0.23594848815385985,0.8362438678741455,meeting,laboratory,1
